2459229.1056487360 TESS
2459229.1070376458 TESS
2459229.1084265555 TESS
2459229.1098154653 TESS
2459229.1112043750 TESS
2459229.1125932843 TESS
2459229.1139821941 TESS
2459229.1153711039 TESS
2459229.1167600136 TESS
2459229.1181489234 TESS
2459229.1195378331 TESS
2459229.1209267429 TESS
2459229.1223156522 TESS
2459229.1237045620 TESS
2459229.1250934717 TESS
2459229.1264823815 TESS
2459229.1278712908 TESS
2459229.1292602005 TESS
2459229.1306491103 TESS
2459229.1320380201 TESS
2459229.1334269298 TESS
2459229.1348158396 TESS
2459229.1362047489 TESS
2459229.1375936586 TESS
2459229.1389825684 TESS
2459229.1403714782 TESS
2459229.1417603875 TESS
2459229.1431492972 TESS
2459229.1445382070 TESS
2459229.1459271167 TESS
2459229.1473160260 TESS
2459229.1487049358 TESS
2459229.1500938456 TESS
2459229.1514827553 TESS
2459229.1528716651 TESS
2459229.1542605748 TESS
2459229.1556494841 TESS
2459229.1570383939 TESS
2459229.1584273037 TESS
2459229.1598162134 TESS
2459229.1612051227 TESS
2459229.1625940325 TESS
2459229.1639829422 TESS
2459229.1653718520 TESS
2459229.1667607613 TESS
2459229.1681496711 TESS
2459229.1695385808 TESS
2459229.1709274901 TESS
2459229.1723163999 TESS
2459229.1737053096 TESS
2459229.1750942194 TESS
2459229.1764831287 TESS
2459229.1778720384 TESS
2459229.1792609482 TESS
2459229.1806498575 TESS
2459229.1820387673 TESS
2459229.1834276770 TESS
2459229.1848165868 TESS
2459229.1862054961 TESS
2459229.1875944058 TESS
2459229.1889833156 TESS
2459229.1903722249 TESS
2459229.1917611347 TESS
2459229.1931500444 TESS
2459229.1945389542 TESS
2459229.1959278635 TESS
2459229.1973167732 TESS
2459229.1987056830 TESS
2459229.2000945923 TESS
2459229.2014835021 TESS
2459229.2028724118 TESS
2459229.2042613216 TESS
2459229.2056502309 TESS
2459229.2070391406 TESS
2459229.2084280499 TESS
2459229.2098169597 TESS
2459229.2112058694 TESS
2459229.2125947787 TESS
2459229.2139836885 TESS
2459229.2153725978 TESS
2459229.2167615076 TESS
2459229.2181504173 TESS
2459229.2195393266 TESS
2459229.2209282364 TESS
2459229.2223171461 TESS
2459229.2237060554 TESS
2459229.2250949652 TESS
2459229.2264838745 TESS
2459229.2278727842 TESS
2459229.2292616935 TESS
2459229.2306506033 TESS
2459229.2320395131 TESS
2459229.2334284228 TESS
2459229.2348173321 TESS
2459229.2362062419 TESS
2459229.2375951512 TESS
2459229.2389840605 TESS
2459229.2403729702 TESS
